date,AF
2020-02-15,-10
2020-02-16,11
2020-02-17,11
2020-02-18,5
2020-02-19,3
2020-02-20,3
2020-02-21,9
2020-02-22,5
2020-02-23,6
2020-02-24,13
2020-02-25,5
2020-02-26,5
2020-02-27,0
2020-02-28,5
2020-02-29,1
2020-03-01,10
2020-03-02,7
2020-03-03,6
2020-03-04,4
2020-03-05,5
2020-03-06,9
2020-03-07,5
2020-03-08,8
2020-03-09,-10
2020-03-10,0
2020-03-11,-1
2020-03-12,-4
2020-03-13,9
2020-03-14,2
2020-03-15,12
2020-03-16,14
2020-03-17,6
2020-03-18,7
2020-03-19,3
2020-03-20,1
2020-03-21,-13
2020-03-22,9
2020-03-23,7
2020-03-24,0
2020-03-25,-1
2020-03-26,0
2020-03-27,5
2020-03-28,-20
2020-03-29,-21
2020-03-30,-25
2020-03-31,-29
2020-04-01,-24
2020-04-02,-25
2020-04-03,-13
2020-04-04,-20
2020-04-05,-22
2020-04-06,-20
2020-04-07,-24
2020-04-08,-30
2020-04-09,-35
2020-04-10,-22
2020-04-11,-32
