date,CL,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Los Ríos,Magallanes and Chilean Antarctica,Maule,Ñuble,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso
2020-02-15,2,2,15,-1,3,3,2,22,14,29,-2,6,8,5,-10,5,11
2020-02-16,3,2,19,-3,3,0,6,23,15,25,-2,6,8,3,-6,3,9
2020-02-17,1,-1,15,-2,0,8,1,19,15,27,-6,6,7,2,-8,1,9
2020-02-18,0,-1,11,-2,2,4,1,17,12,26,-7,5,6,2,-9,2,10
2020-02-19,0,-5,12,1,-1,4,2,20,12,24,-2,1,8,1,-8,2,10
2020-02-20,-1,-4,9,0,-3,3,-4,19,11,23,-1,3,3,2,-9,0,10
2020-02-21,-3,-3,4,-4,-3,0,-3,14,7,19,4,-1,4,2,-12,1,8
2020-02-22,0,1,3,3,-2,-3,0,16,6,20,-3,3,2,3,-10,1,7
2020-02-23,-1,2,9,2,-6,-4,-1,8,2,17,-3,-1,3,0,-7,0,4
2020-02-24,-1,-4,8,2,-6,7,-1,6,3,12,1,2,3,0,-7,0,4
2020-02-25,-1,-1,4,-3,-2,-1,-1,1,5,9,-4,3,1,-1,-3,-2,3
2020-02-26,-3,-4,1,-2,-4,-5,0,0,0,5,-4,-3,2,-3,-4,-5,1
2020-02-27,-1,-1,-1,-2,-7,-2,-3,-1,2,8,-3,-1,-1,-3,-1,-5,3
2020-02-28,6,11,5,7,8,3,4,6,9,15,9,3,5,3,4,4,4
2020-02-29,13,21,0,6,13,2,11,11,12,51,9,7,4,7,13,7,3
2020-03-01,11,23,-3,7,6,-6,12,1,8,17,7,4,5,3,19,9,-4
2020-03-02,5,7,-1,8,7,1,2,-6,7,2,3,5,1,2,8,2,-2
2020-03-03,4,7,-2,6,7,1,4,-13,5,-1,0,3,3,3,9,0,-4
2020-03-04,1,2,-6,11,7,-4,5,-13,-4,-9,6,-5,4,2,5,-1,-4
2020-03-05,-1,2,-8,-1,-2,-6,-3,-15,-3,-11,5,-3,0,1,5,-7,-8
2020-03-06,1,7,-3,0,4,-5,1,-9,1,-7,0,1,4,4,1,-1,-7
2020-03-07,7,13,-2,5,7,-5,8,-9,6,-9,5,3,1,7,12,4,-11
2020-03-08,5,20,-8,4,12,-9,6,-19,2,-11,13,-1,12,0,17,7,-20
2020-03-09,-3,0,-9,-2,1,-6,-3,-17,-2,-9,1,-5,-1,-3,1,-9,-14
2020-03-10,-3,2,-10,-7,-1,-9,-3,-19,-8,-12,-2,-3,-4,-3,3,-9,-12
2020-03-11,-8,-4,-12,-11,-7,-12,-6,-20,-11,-14,-11,-7,-2,-7,-3,-12,-19
2020-03-12,-7,-5,-14,-10,-9,-13,-8,-19,-14,-20,-9,-6,-7,-7,0,-12,-17
2020-03-13,-3,3,-9,-7,-1,-13,-5,-13,-7,-11,2,-3,-1,0,0,-6,-14
2020-03-14,1,6,-8,-3,1,-13,4,-17,-2,-14,2,-1,-3,0,6,-5,-14
2020-03-15,-10,3,-21,-8,-15,-24,-5,-29,-13,-29,-8,-13,-10,-10,-3,-14,-23
2020-03-16,-20,-12,-29,-16,-19,-27,-22,-32,-23,-30,-19,-20,-23,-16,-17,-20,-28
2020-03-17,-31,-21,-39,-25,-27,-36,-34,-40,-33,-39,-34,-27,-34,-25,-29,-23,-37
2020-03-18,-38,-30,-46,-34,-32,-41,-40,-44,-40,-46,-43,-35,-43,-32,-35,-30,-41
2020-03-19,-51,-44,-58,-50,-43,-53,-55,-57,-51,-56,-58,-46,-56,-44,-50,-46,-54
2020-03-20,-54,-50,-61,-50,-45,-53,-57,-60,-54,-58,-60,-49,-58,-49,-54,-48,-58
2020-03-21,-63,-54,-71,-59,-53,-66,-64,-71,-64,-69,-73,-57,-67,-61,-62,-57,-69
2020-03-22,-72,-61,-78,-67,-63,-74,-72,-78,-74,-79,-78,-70,-72,-69,-70,-61,-78
2020-03-23,-62,-55,-70,-59,-53,-63,-66,-68,-67,-71,-67,-56,-67,-55,-62,-64,-64
2020-03-24,-64,-56,-72,-61,-54,-62,-68,-71,-64,-68,-67,-57,-71,-57,-62,-65,-66
2020-03-25,-64,-57,-72,-60,-55,-63,-67,-71,-64,-68,-65,-58,-69,-57,-62,-67,-66
2020-03-26,-61,-57,-71,-61,-55,-64,-69,-71,-65,-69,-68,-57,-69,-56,-56,-67,-66
2020-03-27,-67,-56,-66,-60,-52,-62,-68,-69,-64,-67,-65,-58,-68,-58,-72,-66,-67
2020-03-28,-68,-55,-72,-62,-51,-64,-68,-72,-66,-71,-70,-60,-72,-62,-71,-67,-70
2020-03-29,-73,-60,-86,-68,-61,-70,-72,-78,-71,-79,-78,-70,-68,-69,-74,-65,-78
2020-03-30,-63,-51,-80,-57,-48,-56,-62,-65,-55,-64,-62,-53,-56,-52,-67,-62,-62
2020-03-31,-61,-47,-78,-52,-42,-55,-59,-64,-66,-63,-52,-50,-76,-48,-64,-56,-58
2020-04-01,-62,-49,-77,-52,-47,-57,-60,-64,-65,-64,-51,-51,-75,-50,-64,-58,-59
2020-04-02,-64,-51,-78,-55,-49,-57,-63,-65,-66,-65,-87,-52,-75,-52,-65,-60,-61
2020-04-03,-63,-51,-76,-55,-47,-60,-61,-64,-66,-65,-85,-53,-73,-52,-65,-60,-62
2020-04-04,-65,-51,-79,-59,-47,-62,-62,-68,-66,-68,-89,-57,-77,-55,-66,-65,-67
2020-04-05,-69,-53,-84,-65,-55,-69,-65,-75,-76,-79,-88,-66,-80,-63,-68,-61,-75
2020-04-06,-61,-48,-78,-55,-43,-54,-56,-63,-63,-63,-84,-51,-73,-48,-64,-60,-59
2020-04-07,-62,-50,-76,-57,-48,-55,-63,-65,-63,-64,-78,-49,-70,-48,-63,-60,-60
2020-04-08,-63,-52,-77,-57,-50,-56,-63,-65,-64,-66,-78,-51,-71,-48,-64,-62,-61
2020-04-09,-60,-49,-74,-57,-48,-52,-62,-64,-60,-64,-74,-47,-69,-44,-62,-61,-58
2020-04-10,-82,-70,-88,-79,-75,-86,-84,-84,-85,-85,-88,-81,-86,-78,-83,-79,-81
2020-04-11,-75,-62,-86,-73,-64,-75,-78,-79,-77,-80,-87,-73,-83,-69,-75,-74,-75
