date,GE
2020-02-15,4
2020-02-16,7
2020-02-17,1
2020-02-18,9
2020-02-19,4
2020-02-20,7
2020-02-21,11
2020-02-22,6
2020-02-23,6
2020-02-24,4
2020-02-25,1
2020-02-26,6
2020-02-27,7
2020-02-28,6
2020-02-29,1
2020-03-01,-4
2020-03-02,2
2020-03-03,13
2020-03-04,4
2020-03-05,7
2020-03-06,4
2020-03-07,1
2020-03-08,16
2020-03-09,-2
2020-03-10,2
2020-03-11,-6
2020-03-12,-9
2020-03-13,-14
2020-03-14,-21
2020-03-15,-20
2020-03-16,-30
2020-03-17,-34
2020-03-18,-43
2020-03-19,-41
2020-03-20,-45
2020-03-21,-55
2020-03-22,-61
2020-03-23,-59
2020-03-24,-59
2020-03-25,-60
2020-03-26,-60
2020-03-27,-60
2020-03-28,-63
2020-03-29,-67
2020-03-30,-65
2020-03-31,-67
2020-04-01,-68
2020-04-02,-70
2020-04-03,-67
2020-04-04,-71
2020-04-05,-68
2020-04-06,-68
2020-04-07,-69
2020-04-08,-70
2020-04-09,-69
2020-04-10,-65
2020-04-11,-68
