date,KE,Baringo County,Bomet County,Bungoma County,Busia County,Embu County,Garissa County,Homa Bay County,Kajiado County,Kakamega County,Kericho County,Kiambu County,Kilifi County,Kirinyaga County,Kisii County,Kisumu County,Kitui County,Kwale County,Laikipia County,Machakos County,Makueni County,Meru County,Migori County,Mombasa County,Muranga County,Nairobi County,Nakuru County,Nandi County,Narok County,Nyandarua County,Nyeri County,Siaya,Taita-Taveta County,Tharaka-Nithi County,Trans-Nzoia County,Turkana County,Uasin Gishu County,Vihiga County,Wajir County
2020-02-15,-1,NA,0,0,0,0,0,0,-4,0,0,-1,2,0,0,-1,0,0,0,-2,0,0,0,0,0,-1,1,0,0,NA,0,0,0,0,0,0,-1,0,NA
2020-02-16,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,NA,0,0,NA,0,0,0,-1,0,NA
2020-02-17,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,NA
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,NA
2020-02-19,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,-1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,NA
2020-02-20,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020-02-21,0,NA,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA
2020-02-22,0,NA,0,0,0,0,0,0,-1,0,0,-1,2,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,-1,0,NA
2020-02-23,-1,NA,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,NA,0,0,NA,0,0,0,-1,0,NA
2020-02-24,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,NA
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
2020-02-28,-1,NA,0,0,0,0,0,0,-2,0,0,-2,1,0,0,0,0,0,0,-2,0,-1,0,-1,0,-1,0,0,0,0,2,0,0,0,0,0,-1,0,NA
2020-02-29,-2,NA,0,0,0,0,0,0,-3,0,0,-2,1,0,0,-1,0,0,0,-2,0,0,0,0,0,-2,0,0,0,NA,0,0,0,0,0,0,0,0,NA
2020-03-01,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,NA,0,0,0,0,0,0,0,0,NA
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,NA
2020-03-03,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,-1,0,0,0,-2,0,-1,0,0,0,-1,-1,0,0,0,2,0,0,0,0,0,1,0,NA
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA
2020-03-05,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-3,0,0,0,-3,0,-2,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,NA
2020-03-06,-2,NA,0,0,0,0,0,0,-2,0,0,-2,1,0,0,-1,0,0,0,-3,0,-1,0,-1,0,-2,-1,0,0,0,0,0,0,0,0,0,-1,0,NA
2020-03-07,-2,NA,0,0,0,0,0,0,-3,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,0,NA,0,0,0,0,0,0,-2,0,NA
2020-03-08,-1,NA,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,NA,0,0,0,0,0,0,-1,0,NA
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,NA
2020-03-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,NA
2020-03-11,-1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,-2,0,-1,0,-1,0,0,0,NA,1,0,0,0,0,0,-1,0,NA
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,NA
2020-03-13,-1,NA,0,0,0,0,0,0,-1,0,0,-1,1,0,0,-2,0,0,0,-2,0,-2,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,NA
2020-03-14,1,NA,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,NA
2020-03-15,1,NA,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,NA
2020-03-16,4,0,0,0,0,0,0,0,6,0,0,5,2,0,0,3,0,0,0,4,0,1,0,3,0,4,2,0,0,0,3,0,0,0,0,0,3,0,NA
2020-03-17,5,0,0,0,0,0,0,0,8,0,0,7,4,0,0,4,0,0,0,6,0,1,0,4,0,6,3,0,0,0,0,0,0,0,0,0,2,0,NA
2020-03-18,8,0,0,0,0,0,0,0,11,0,0,10,4,0,0,6,0,0,0,8,0,2,0,5,0,10,5,0,0,0,0,0,0,0,0,0,5,0,NA
2020-03-19,9,0,0,0,0,0,0,0,14,0,0,12,6,0,0,5,0,0,0,9,0,0,0,5,0,11,6,0,0,0,0,0,0,0,0,0,5,0,NA
2020-03-20,10,0,0,0,0,0,0,0,13,0,0,13,7,0,0,5,0,0,0,12,0,0,0,6,0,13,7,0,0,0,0,0,0,0,0,0,4,0,NA
2020-03-21,8,NA,0,0,0,0,0,0,10,0,0,9,8,0,0,6,0,0,0,10,0,0,0,7,0,10,7,0,0,NA,0,0,0,0,0,0,5,0,NA
2020-03-22,9,NA,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,10,8,0,0,NA,0,0,0,0,0,0,0,0,NA
2020-03-23,14,0,0,0,0,0,0,0,19,0,0,17,10,0,0,9,0,0,0,17,0,0,0,10,0,17,10,0,0,0,0,0,0,0,0,0,9,0,NA
2020-03-24,17,0,0,0,0,0,0,0,21,0,0,20,12,0,0,12,0,0,0,19,0,0,0,13,0,20,11,0,0,0,0,0,0,0,0,0,10,0,NA
2020-03-25,18,0,0,0,0,0,0,0,23,0,0,22,11,0,0,17,0,0,0,21,0,0,0,14,0,21,12,0,0,0,0,0,0,0,0,0,11,0,NA
2020-03-26,19,0,0,0,0,0,0,0,24,0,0,22,16,0,0,16,0,0,0,21,0,0,0,15,0,22,14,0,0,0,0,0,0,0,0,0,12,0,NA
2020-03-27,23,0,0,0,0,0,0,0,26,0,0,25,0,0,0,20,0,0,0,25,0,0,0,21,0,27,18,0,0,0,0,0,0,0,0,0,15,0,NA
2020-03-28,19,NA,0,0,0,0,0,0,21,0,0,21,0,0,0,17,0,0,0,20,0,0,0,18,0,22,17,0,0,NA,0,0,0,0,0,0,13,0,NA
2020-03-29,17,NA,0,0,0,0,0,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,16,0,19,15,0,0,NA,0,0,0,0,0,0,0,0,NA
2020-03-30,21,0,0,0,0,0,0,0,26,0,0,25,17,0,0,18,0,0,0,24,0,0,0,18,0,25,16,0,0,0,0,0,0,0,0,0,17,0,NA
2020-03-31,21,0,0,0,0,0,0,0,26,0,0,25,17,0,0,19,0,0,0,25,0,0,0,19,0,25,15,0,0,0,0,0,0,0,0,0,15,0,NA
2020-04-01,22,0,0,0,0,0,0,0,26,0,0,26,16,0,0,19,0,0,0,25,0,0,0,17,0,26,15,0,0,0,0,0,0,0,0,0,14,0,NA
2020-04-02,22,0,0,0,0,0,0,0,28,0,0,26,19,0,0,17,0,0,0,25,0,0,0,18,0,26,15,0,0,0,0,0,0,0,0,0,14,0,0
2020-04-03,23,0,0,0,0,0,0,0,27,0,0,28,18,0,0,17,0,0,0,26,0,0,0,19,0,28,17,0,0,0,0,0,0,0,0,0,14,0,NA
2020-04-04,17,NA,0,0,0,0,0,0,20,0,0,20,0,0,0,15,0,0,0,18,0,0,0,17,0,21,15,0,0,NA,0,0,0,0,0,0,11,0,NA
2020-04-05,17,NA,0,0,0,0,0,0,20,0,0,21,0,0,0,0,0,0,0,0,0,0,0,16,0,19,14,0,0,NA,0,0,0,0,0,0,0,0,NA
2020-04-06,21,0,0,0,0,0,0,0,26,0,0,25,17,0,0,18,0,0,0,24,0,0,0,19,0,25,17,0,0,0,0,0,0,0,0,0,14,0,NA
2020-04-07,23,0,0,0,0,0,0,0,29,0,0,28,15,0,0,17,0,0,0,26,0,0,0,18,0,28,16,0,0,0,0,0,0,0,0,0,15,0,NA
2020-04-08,23,0,0,0,0,0,0,0,29,0,0,28,17,0,0,19,0,0,0,26,0,0,0,19,0,28,16,0,0,0,0,0,0,0,0,0,14,0,NA
2020-04-09,23,0,0,0,0,0,0,0,29,0,0,27,0,0,0,16,0,0,0,25,0,0,0,20,0,28,16,0,0,0,0,0,0,0,0,0,15,0,NA
2020-04-10,32,0,0,0,0,0,0,0,37,0,0,37,0,0,0,25,0,0,0,35,0,0,0,30,0,38,23,0,0,0,0,0,0,0,0,0,20,0,NA
2020-04-11,21,NA,0,0,0,0,0,0,23,0,0,24,0,0,0,17,0,0,0,22,0,0,0,22,0,25,18,0,0,NA,0,0,0,0,0,0,15,0,NA
