date,LK
2020-02-15,3
2020-02-16,3
2020-02-17,6
2020-02-18,7
2020-02-19,5
2020-02-20,5
2020-02-21,-18
2020-02-22,0
2020-02-23,3
2020-02-24,7
2020-02-25,8
2020-02-26,5
2020-02-27,7
2020-02-28,7
2020-02-29,8
2020-03-01,6
2020-03-02,7
2020-03-03,8
2020-03-04,6
2020-03-05,7
2020-03-06,5
2020-03-07,1
2020-03-08,2
2020-03-09,-60
2020-03-10,8
2020-03-11,6
2020-03-12,7
2020-03-13,2
2020-03-14,2
2020-03-15,-1
2020-03-16,-54
2020-03-17,-34
2020-03-18,-46
2020-03-19,-48
2020-03-20,-53
2020-03-21,-70
2020-03-22,-56
2020-03-23,-75
2020-03-24,-72
2020-03-25,-79
2020-03-26,-72
2020-03-27,-74
2020-03-28,-65
2020-03-29,-50
2020-03-30,-70
2020-03-31,-75
2020-04-01,-71
2020-04-02,-75
2020-04-03,-74
2020-04-04,-62
2020-04-05,-45
2020-04-06,-68
2020-04-07,-77
2020-04-08,-73
2020-04-09,-66
2020-04-10,-73
2020-04-11,-59
