date,LU
2020-02-15,4
2020-02-16,2
2020-02-17,-11
2020-02-18,-13
2020-02-19,-12
2020-02-20,-12
2020-02-21,-5
2020-02-22,12
2020-02-23,5
2020-02-24,-3
2020-02-25,-1
2020-02-26,0
2020-02-27,0
2020-02-28,4
2020-02-29,12
2020-03-01,12
2020-03-02,1
2020-03-03,0
2020-03-04,0
2020-03-05,-2
2020-03-06,1
2020-03-07,8
2020-03-08,0
2020-03-09,-3
2020-03-10,-5
2020-03-11,-4
2020-03-12,-6
2020-03-13,-12
2020-03-14,-16
2020-03-15,-8
2020-03-16,-32
2020-03-17,-44
2020-03-18,-56
2020-03-19,-64
2020-03-20,-68
2020-03-21,-72
2020-03-22,-68
2020-03-23,-74
2020-03-24,-73
2020-03-25,-74
2020-03-26,-75
2020-03-27,-74
2020-03-28,-67
2020-03-29,-78
2020-03-30,-74
2020-03-31,-73
2020-04-01,-72
2020-04-02,-73
2020-04-03,-76
2020-04-04,-67
2020-04-05,-65
2020-04-06,-71
2020-04-07,-71
2020-04-08,-70
2020-04-09,-72
2020-04-10,-73
2020-04-11,-65
