date,PK
2020-02-15,0
2020-02-16,0
2020-02-17,-1
2020-02-18,-1
2020-02-19,-1
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,-1
2020-02-25,-1
2020-02-26,-1
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,0
2020-03-02,0
2020-03-03,-1
2020-03-04,0
2020-03-05,1
2020-03-06,2
2020-03-07,1
2020-03-08,0
2020-03-09,-1
2020-03-10,-1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,2
2020-03-17,2
2020-03-18,4
2020-03-19,6
2020-03-20,7
2020-03-21,8
2020-03-22,9
2020-03-23,22
2020-03-24,21
2020-03-25,23
2020-03-26,24
2020-03-27,25
2020-03-28,23
2020-03-29,18
2020-03-30,24
2020-03-31,23
2020-04-01,22
2020-04-02,22
2020-04-03,23
2020-04-04,20
2020-04-05,15
2020-04-06,20
2020-04-07,20
2020-04-08,20
2020-04-09,22
2020-04-10,21
2020-04-11,19
